00000000001TTRTDP4231101KTSG100501900120000000003          KR103503GE6200000000001000000.87500000009930.0000010000004020251119130644165101            3000100000000009930.00000000.87500030     004000      00801001711515324F5AAE501E1 0501012P-00000000000030000000000011501012   G1KR103503GE62XX0001220251120000000000001                                                                                   
00000000002TTRTDP4231101KTSG100501900120000000004          KR103503GE6200000000002000000.87500000009930.0000010000004020251119130700505201            3000100000000009930.00000000.87500030     004000      00801001711515324F5AAE501E1 0501012P-00000000000040000000000011501012   G1KR103503GE62XX0001220251120000000000002                                                                                   
00000000003TTRTDP4231101KTSG100501900120000000005          KR103503GE6200000000003000000.86400000009939.00000100000040202511191309448271              1000100000000009939.00000000.86400030     16400000000000801001711515324F5AAE501E100501012P-00000000000050000000000011501012   G1KR103503GE62XX0001220251120000000000022                                                                                   
00000000004TTRTDP4231101KTSG100501900120000000006          KR103503GE6200000000003000000.86400000009939.00000100000040202511191309448272              3000100000000009939.00000000.86400030     004000      00801001711515324F5AAE501E1 0501012P-00000000000060000000000011501012   G1KR103503GE62XX0001220251120000000000002                                                                                   
00000000005TTRTDP4231101KTSG100501900120000000007          KR103503GE6200000000004000000.86300000009940.00000100000040202511191310044532              3000100000000009940.00000000.86300030     004000      00801001711515324F5AAE501E1 0501012P-00000000000070000000000011501012   G1KR103503GE62XX0001220251120000000000002                                                                                   
00000000006TTRTDP4231101KTSG100501900120000000008          KR103503GE6200000000005000000.86300000009940.00000100000040202511191310121322              3000100000000009940.00000000.86300030     004000      00801001711515324F5AAE501E1 0501012P-00000000000080000000000011501012   G1KR103503GE62XX0001220251120000000000002                                                                                   
00000000007TTRTDP4231101KTSG100501900120000000009          KR103503GE6200000000006000000.86300000009940.0000010000004020251119131026278101            3000100000000009940.00000000.86300030     004000      00801001711515324F5AAE501E1 0501012P-00000000000090000000000011501012   G1KR103503GE62XX0001220251120000000000001                                                                                   
00000000008TTRTDP4231101KTSG100501900120000000011          KR103503GE6200000000007000000.85600000009946.0000010000004020251119131857371201            3000600000000009954.00000000.85600030     004000      00801001711515324F5AAE501E1 0501012P-00000000000110000000000011501012   G1KR103503GE62XX0001220251120000000000002                                                                                   
00000000009TTRTDP4231101KTSG100501900120000000011          KR103503GE6200000000008000000.85400000009947.00000100000040202511191318573712              3000600000000009954.00000000.85400030     004000      00801001711515324F5AAE501E1 0501012P-00000000000110000000000011501012   G1KR103503GE62XX0001220251120000000000002                                                                                   
00000000010TTRTDP4231101KTSG100501900120000000011          KR103503GE6200000000009000000.84600000009954.00000400000040202511191318573712              3000600000000009954.00000000.84600030     004000      00801001711515324F5AAE501E1 0501012P-00000000000110000000000011501012   G1KR103503GE62XX0001220251120000000000002                                                                                   
00000000011TTRTDP4231101KTSG100501900120000000012          KR103503GE6200000000010000000.84600000009954.0000040000004020251119131911655101            3000700000000009911.00000000.84600030     004000      00801001711515324F5AAE501E1 0501012P-00000000000120000000000011501012   G1KR103503GE62XX0001220251120000000000001                                                                                   
00000000012TTRTDP4231101KTSG100501900120000000012          KR103503GE6200000000011000000.85400000009947.0000010000004020251119131911655101            3000700000000009911.00000000.85400030     004000      00801001711515324F5AAE501E1 0501012P-00000000000120000000000011501012   G1KR103503GE62XX0001220251120000000000001                                                                                   
00000000013TTRTDP4231101KTSG100501900120000000012          KR103503GE6200000000012000000.88100000009925.0000010000004020251119131911655101            3000700000000009911.00000000.88100030     004000      00801001711515324F5AAE501E1 0501012P-00000000000120000000000011501012   G1KR103503GE62XX0001220251120000000000001                                                                                   
00000000014TTRTDP4231101KTSG100501900120000000012          KR103503GE6200000000013000000.89800000009911.0000010000004020251119131911655101            3000700000000009911.00000000.89800030     004000      00801001711515324F5AAE501E1 0501012P-00000000000120000000000011501012   G1KR103503GE62XX0001220251120000000000001                                                                                   
00000000015TTRTDP4231101KTSG100501900120000000013          KR103503GE6200000000015000000.87500000009930.0000010000004020251119142818196201            1000100000000009930.00000000.87500030     16400000000000801001711515324F5AAE501E100501012P-00000000000130000000000011501012   G1KR103503GE62XX0001220251120000000000021                                                                                   
00000000016TCHEDP9900001010000000001600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020251119163501028                                                                                                                                                                                                                                                       
